Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Previous_Semester_SGPA,Cleared_in_First_Attempt
61,4.9,3.6,6.8,5.57,Yes
75,1.6,3.3,5.8,5.68,Yes
79,2.3,2.1,6.0,6.08,No
99,2.1,5.0,6.8,5.09,No
72,4.7,3.0,7.7,5.6,Yes
100,4.7,2.2,5.6,7.13,Yes
78,2.5,7.4,7.7,5.01,No
73,3.9,0.0,4.6,5.08,Yes
57,2.3,3.6,4.7,5.79,Yes
66,1.8,3.0,7.2,4.71,Yes
86,3.8,5.7,6.5,5.13,No
53,3.9,5.5,8.4,5.33,Yes
58,1.6,4.2,6.3,6.39,No
69,2.9,3.7,7.4,4.58,No
68,2.7,2.0,9.0,6.1,No
86,0.2,5.2,7.4,5.43,No
88,2.2,3.1,5.8,6.75,Yes
52,3.2,5.5,8.4,4.26,No
82,1.9,3.8,8.6,5.21,Yes
62,1.7,2.7,6.4,5.72,No
74,3.0,4.5,7.9,6.98,No
68,3.0,3.2,8.4,5.28,No
81,3.3,3.0,7.0,5.41,No
39,3.0,3.3,6.4,5.28,No
64,4.1,4.5,6.3,4.97,No
92,4.1,4.1,6.4,5.09,No
68,4.3,2.1,5.3,6.42,No
34,4.7,5.4,5.5,4.8,No
59,4.5,1.8,6.2,5.4,No
85,1.9,3.4,7.7,5.94,No
53,1.2,2.7,8.6,5.16,No
62,4.0,4.5,7.2,6.18,No
78,5.0,2.8,6.5,6.48,No
74,2.0,5.2,5.8,4.86,No
50,4.2,4.9,4.8,5.37,No
43,5.6,2.5,7.5,5.86,No
59,2.8,4.9,7.1,5.0,No
73,1.0,5.6,7.9,6.38,No
74,5.1,4.1,6.6,6.39,No
88,3.9,4.0,6.1,7.05,Yes
41,3.3,3.7,6.1,5.45,No
77,4.1,4.3,5.7,5.55,No
62,2.6,3.1,5.0,3.47,No
67,5.3,2.4,7.6,6.66,Yes
78,2.9,,6.6,5.64,No
91,0.2,4.6,8.4,5.66,No
69,2.4,3.2,,5.61,Yes
71,0.1,3.5,4.6,4.97,No
78,3.1,3.7,6.4,4.38,Yes
73,6.3,5.8,5.9,6.14,Yes
80,1.2,1.8,5.5,5.47,No
100,2.2,3.9,4.4,5.38,No
100,0.8,3.9,4.9,5.76,No
69,2.8,4.9,8.8,5.75,No
98,3.3,2.9,5.3,6.42,Yes
64,0.1,3.1,6.7,5.14,No
58,4.0,4.8,5.6,4.38,No
38,2.7,2.3,4.4,4.08,No
72,2.7,5.0,6.2,5.51,No
66,1.4,2.6,7.3,5.01,No
71,3.1,2.6,5.9,4.86,Yes
71,5.4,4.1,9.2,6.94,Yes
71,4.2,3.3,5.3,6.65,No
73,4.3,3.9,6.7,7.09,No
38,1.0,4.5,4.5,6.24,No
52,6.6,5.3,6.8,6.19,Yes
72,2.3,2.2,8.1,4.82,No
47,3.9,3.4,7.2,6.29,No
78,3.2,3.6,3.5,5.15,No
62,3.2,5.0,7.3,4.64,No
65,4.3,3.4,5.6,5.89,No
74,4.6,2.0,5.5,6.43,Yes
82,0.6,3.1,7.2,5.48,No
78,0.9,2.3,7.4,5.94,No
66,2.8,3.0,6.7,5.1,No
76,3.8,2.7,6.7,4.91,No
60,3.1,2.6,7.9,5.18,No
47,1.6,4.5,8.0,3.31,No
46,4.2,1.6,6.6,5.59,Yes
66,5.3,4.5,7.7,5.35,Yes
73,2.8,5.6,7.4,5.62,No
60,3.8,4.5,9.6,5.98,No
56,0.6,3.2,5.4,5.08,No
60,2.5,4.6,8.4,,No
60,4.0,1.7,6.3,6.82,No
56,3.2,3.1,9.4,5.8,No
73,1.8,2.5,6.4,6.04,No
70,2.5,3.8,7.2,,No
100,4.3,2.8,6.7,8.1,Yes
64,2.5,2.0,6.3,5.97,Yes
63,2.2,2.4,5.0,5.81,No
84,3.6,1.9,6.5,7.05,Yes
66,2.9,1.7,6.3,4.96,No
50,4.5,3.6,6.2,4.44,No
82,2.2,4.7,5.6,5.81,No
64,3.6,4.3,6.9,5.87,No
89,1.1,1.8,6.5,5.86,No
83,3.2,2.3,7.1,5.2,Yes
100,5.1,2.0,7.2,8.74,Yes
61,0.0,1.3,6.6,6.36,No
69,3.7,0.2,8.8,6.08,Yes
58,2.5,1.0,6.1,6.3,No
63,2.9,3.9,5.6,5.12,No
67,2.5,3.1,7.1,5.68,No
38,3.1,3.7,6.9,4.51,No
80,3.8,3.7,7.9,5.87,No
75,1.0,6.5,6.3,4.14,No
100,3.8,4.0,5.7,5.81,No
74,5.4,4.3,5.7,4.88,No
43,2.6,5.7,7.3,4.97,No
80,2.1,4.0,6.8,5.72,Yes
66,2.7,6.3,8.0,5.08,Yes
63,3.4,3.8,7.4,6.5,No
68,1.9,3.4,5.8,5.45,Yes
85,3.9,5.4,6.5,5.62,No
75,5.9,3.4,5.3,5.24,No
100,5.5,1.2,6.1,7.54,Yes
62,,4.5,5.1,4.97,No
76,4.4,1.6,4.9,5.49,Yes
72,4.8,2.0,9.0,5.93,Yes
53,3.0,4.6,6.0,4.64,No
58,0.9,5.4,7.0,4.58,No
82,4.5,2.2,7.7,7.93,No
65,0.8,4.1,6.9,5.0,No
79,2.2,3.5,5.2,4.35,Yes
69,3.8,1.0,9.1,6.08,Yes
58,1.7,3.2,6.0,4.94,Yes
59,5.9,5.1,6.8,6.39,No
52,2.4,3.1,6.4,5.26,Yes
85,1.1,1.9,6.8,5.94,No
65,3.4,5.6,8.0,4.58,Yes
55,1.9,1.2,6.1,5.69,No
61,2.4,1.7,6.0,5.39,No
46,3.8,3.9,7.5,4.87,No
76,4.2,4.1,6.5,5.93,No
76,3.8,2.5,7.3,5.8,Yes
81,2.9,1.4,7.2,6.35,No
63,0.9,4.8,5.8,4.45,No
60,3.8,2.1,6.1,6.1,No
71,3.1,1.6,7.0,6.72,Yes
67,3.2,2.0,7.3,5.64,No
52,2.0,3.4,6.8,5.22,No
89,3.3,3.2,8.1,7.32,No
63,2.1,2.5,6.4,6.28,Yes
92,3.4,3.2,6.8,7.33,Yes
49,0.3,4.6,6.1,,No
85,5.4,4.3,6.6,7.11,No
69,3.3,,5.6,5.59,No
72,2.4,3.0,5.0,6.01,No
100,2.5,4.6,6.2,5.91,No
59,4.9,4.3,8.5,7.17,No
79,1.5,2.7,5.9,6.04,Yes
86,2.1,5.7,6.7,5.4,No
83,1.2,6.9,6.6,4.8,No
69,3.2,3.3,5.6,5.82,No
63,3.9,3.3,5.9,5.41,No
73,3.3,4.5,6.7,6.04,No
84,3.7,,5.5,5.76,No
82,4.6,4.6,5.1,5.74,No
62,2.8,6.1,5.8,4.76,No
66,1.7,4.6,5.8,4.46,Yes
69,1.6,2.7,5.1,4.65,No
77,1.8,4.2,7.6,6.19,No
77,4.7,3.8,8.5,5.86,No
66,4.1,1.6,5.7,6.34,No
88,0.0,4.8,7.7,6.11,No
61,3.4,2.8,7.3,6.53,No
88,3.7,5.8,7.0,5.76,Yes
75,1.9,5.6,7.1,5.83,No
85,2.4,,7.7,5.97,No
89,1.5,4.0,4.3,6.16,No
58,1.1,4.6,6.3,5.25,No
54,2.2,4.9,5.2,5.33,No
95,5.4,6.0,6.5,6.35,No
94,2.0,3.1,6.5,5.53,No
75,2.6,2.6,5.4,5.26,No
70,1.6,1.1,8.9,6.77,No
47,0.1,3.1,7.7,4.08,No
65,2.7,3.6,4.7,4.7,No
62,4.4,1.6,,6.7,No
81,3.6,4.1,6.5,6.57,Yes
76,2.2,5.1,5.0,5.95,No
96,3.8,2.3,8.3,7.23,No
39,2.4,4.1,6.5,4.55,No
79,1.0,3.2,8.7,6.27,No
60,0.0,3.8,5.6,4.28,No
69,2.7,4.5,5.8,4.53,Yes
85,6.5,2.9,6.3,6.86,No
66,1.2,2.9,8.4,5.58,No
100,1.9,2.0,6.2,6.69,Yes
64,4.4,2.4,7.0,5.93,No
63,1.4,4.2,9.1,3.66,No
43,3.2,3.7,6.5,5.63,No
75,1.6,1.7,7.5,5.07,No
71,0.7,2.3,5.0,5.73,No
48,1.1,,4.5,4.03,No
63,3.0,5.8,5.4,4.1,No
80,5.8,2.6,7.9,5.57,No
52,2.7,1.7,5.0,5.42,No
58,4.4,2.4,8.4,6.34,Yes
73,1.7,3.4,4.7,5.58,No
78,3.0,2.0,7.0,6.08,No
89,1.0,3.7,6.7,4.64,No
100,2.6,4.4,4.8,6.12,No
66,2.2,3.4,5.9,4.75,No
42,4.8,3.3,6.2,3.62,No
44,2.6,4.8,5.7,6.01,No
100,2.9,4.7,4.7,6.04,Yes
67,4.8,2.6,7.6,6.47,Yes
95,4.0,3.2,,5.35,No
81,4.1,6.1,5.1,5.09,No
49,0.8,3.9,5.9,5.42,No
58,4.9,5.1,6.7,5.06,No
100,5.2,2.5,7.5,8.93,Yes
60,4.5,2.1,5.7,5.64,No
75,4.0,,5.1,6.46,Yes
70,3.7,3.0,5.2,5.65,No
35,5.3,3.9,6.7,5.01,Yes
100,3.0,4.4,5.1,5.96,Yes
49,4.5,2.9,6.0,4.89,No
70,4.1,1.7,5.4,4.74,No
55,3.6,3.6,4.1,5.23,No
85,4.6,5.5,6.0,6.78,No
72,3.2,6.2,6.6,4.33,No
92,4.4,0.5,7.2,6.99,No
100,4.2,4.5,6.8,5.57,Yes
86,2.7,5.7,5.8,6.68,No
77,3.8,2.7,6.1,6.33,Yes
60,0.7,3.7,6.3,3.93,No
63,4.0,4.6,7.6,5.55,No
83,,4.7,7.6,4.96,No
70,5.0,2.7,8.4,5.76,No
93,0.8,5.6,6.5,6.32,Yes
93,2.7,3.4,7.9,6.3,No
75,4.8,2.6,6.3,4.77,Yes
57,3.8,,6.6,6.12,No
67,2.1,4.7,5.8,4.99,No
84,2.4,2.1,7.0,6.14,Yes
52,4.3,5.3,4.6,5.21,No
85,1.8,4.9,7.8,6.17,No
57,3.2,1.2,6.7,4.88,No
61,2.1,4.3,7.1,4.98,No
58,3.7,1.1,6.8,5.86,No
51,3.8,,8.0,5.63,No
91,2.4,6.2,7.0,6.63,No
75,1.7,3.5,5.1,3.87,No
57,2.2,2.6,5.4,5.67,No
62,1.1,1.8,6.4,5.59,No
91,0.9,5.4,5.4,5.67,No
66,4.4,5.3,5.3,6.29,No
81,3.6,3.8,5.6,5.84,No
66,2.0,4.0,6.6,5.48,No
82,5.0,4.0,7.9,7.21,Yes
58,3.9,4.0,8.0,5.86,No
55,3.7,4.7,7.3,5.07,No
68,4.6,2.6,6.1,6.07,Yes
80,4.4,1.2,6.4,7.2,Yes
63,4.0,5.5,6.6,4.79,No
66,2.9,1.8,5.7,4.95,No
72,3.0,4.5,7.0,5.43,No
61,0.4,4.1,7.3,4.25,No
59,3.5,3.1,5.8,5.45,Yes
72,3.9,2.5,3.3,6.24,No
89,2.9,3.9,4.9,4.82,No
59,0.0,5.5,7.3,5.5,No
65,0.0,1.5,4.8,4.63,No
76,0.0,3.5,6.9,4.21,Yes
73,0.8,6.2,6.0,4.02,No
91,3.2,4.7,7.9,6.46,Yes
69,3.0,1.7,6.6,5.65,No
49,3.0,2.3,4.2,4.54,No
52,2.5,5.0,6.4,4.38,No
89,1.8,1.6,6.5,4.9,Yes
51,2.2,3.1,6.3,4.74,No
67,2.7,2.5,5.4,5.94,No
53,4.0,3.4,6.9,5.07,No
70,4.1,4.8,6.2,6.03,No
74,3.1,3.3,7.4,4.94,No
74,0.2,2.8,6.3,4.25,No
68,2.7,3.8,6.7,6.09,No
49,3.3,3.5,6.1,5.1,No
61,1.7,2.2,6.1,4.78,No
60,5.9,2.9,7.1,6.77,No
84,2.0,1.0,6.9,7.04,No
61,2.4,2.7,6.2,4.63,No
41,2.6,5.6,5.9,4.37,No
82,1.1,4.4,7.3,5.9,No
77,0.4,3.0,5.2,4.59,No
60,2.2,4.8,6.3,5.5,No
51,0.0,5.6,5.4,3.98,No
63,3.3,3.5,,5.22,No
69,2.3,2.3,5.3,4.89,No
78,2.0,3.0,6.7,5.3,No
96,3.6,4.3,5.0,7.02,Yes
74,1.9,5.0,6.5,5.97,Yes
80,1.6,3.6,6.3,5.74,No
46,0.3,3.2,5.8,5.35,No
53,0.7,5.0,6.3,4.78,No
86,4.4,2.0,5.3,5.27,Yes
50,1.9,3.5,6.1,3.83,No
58,2.8,5.2,6.1,4.3,No
75,2.2,3.7,7.6,5.03,No
75,3.9,3.3,6.2,4.5,Yes
56,1.7,1.6,9.8,6.12,No
93,1.5,2.8,5.1,6.03,No
52,0.5,3.7,6.9,4.9,No
74,3.3,4.9,4.6,4.99,No
96,4.1,1.5,5.5,,Yes
75,3.8,2.5,7.3,4.9,No
45,4.4,3.0,7.3,5.62,No
84,3.1,4.0,6.4,6.12,Yes
67,3.8,2.3,5.4,4.93,No
80,4.2,2.7,7.5,7.49,No
91,1.4,5.8,7.9,5.21,No
45,4.7,3.8,5.4,5.22,No
76,3.6,2.9,6.5,6.49,Yes
88,4.4,4.3,7.2,6.02,No
75,4.1,1.3,6.5,6.14,Yes
92,0.6,2.9,6.0,5.19,No
73,4.1,2.4,6.4,7.0,Yes
95,3.4,2.5,5.6,6.51,No
45,2.3,2.3,3.6,4.35,No
83,3.8,3.2,5.5,4.8,No
32,3.9,3.2,7.4,6.01,No
75,5.1,2.8,5.0,7.18,Yes
52,5.6,0.9,6.9,5.04,Yes
82,3.8,2.3,7.0,6.81,No
63,3.7,2.6,9.3,6.68,No
71,4.1,1.4,6.4,6.14,No
60,2.2,5.6,7.9,4.88,No
97,4.5,1.2,6.8,7.18,Yes
66,2.1,5.9,4.3,4.95,No
57,2.7,0.8,5.5,5.08,No
47,2.2,1.6,6.7,4.81,No
56,1.9,3.0,8.6,4.74,No
54,4.5,5.1,7.3,4.23,No
70,3.2,2.3,6.2,6.41,No
65,3.7,7.0,6.9,4.61,No
37,3.7,1.6,5.7,5.11,No
63,1.4,4.1,6.4,4.96,No
35,1.1,3.8,5.2,3.99,No
82,5.6,2.1,6.6,6.39,No
66,1.9,1.5,7.6,5.29,No
50,3.5,3.6,8.3,4.82,No
66,2.7,3.7,9.7,6.07,Yes
84,2.9,1.4,9.2,5.09,Yes
66,4.0,4.4,5.2,5.02,No
71,1.6,4.3,9.0,5.2,No
82,2.4,4.7,7.6,5.3,No
61,4.9,2.0,7.7,6.72,No
56,3.0,7.0,8.0,4.44,No
56,5.0,2.9,5.4,6.48,Yes
82,4.0,3.2,7.7,6.25,Yes
73,4.1,1.9,,6.73,Yes
78,3.5,3.5,5.7,3.59,Yes
50,7.3,1.9,5.3,6.45,Yes
95,1.9,3.7,8.4,6.23,Yes
85,0.5,0.4,7.7,6.0,No
54,1.7,4.4,6.2,6.4,No
77,2.7,1.1,6.6,5.51,Yes
55,6.8,4.1,7.6,6.97,Yes
46,4.2,2.5,7.4,4.5,No
76,4.7,4.6,7.7,5.64,No
73,0.0,3.6,4.4,5.08,No
78,2.3,3.7,5.8,6.13,No
83,4.0,5.5,5.6,6.25,Yes
82,3.3,2.5,4.9,6.88,Yes
71,0.6,1.8,5.8,4.67,No
68,3.6,4.6,7.0,5.74,No
89,1.9,3.2,4.6,4.79,No
64,3.5,4.8,4.8,4.03,No
86,1.0,2.1,7.7,5.13,No
40,,1.7,6.4,5.96,No
61,4.9,4.0,5.6,5.49,Yes
69,2.4,2.1,7.3,4.86,No
79,5.1,2.0,6.0,7.04,Yes
82,1.2,4.3,7.2,5.03,No
85,2.4,2.6,6.0,5.92,Yes
73,3.7,4.0,6.7,7.2,No
67,2.0,0.6,7.5,5.31,No
87,2.5,1.4,6.7,6.07,No
72,1.2,3.7,6.6,5.21,No
88,0.5,2.8,8.1,6.72,No
77,3.5,,5.0,5.82,Yes
70,2.5,1.5,4.9,4.16,No
83,4.8,3.7,8.8,7.2,Yes
74,1.3,6.1,6.3,3.87,No
73,2.3,3.7,8.4,5.53,No
57,1.9,3.3,5.4,4.52,No
67,1.6,4.2,5.3,5.04,No
62,5.0,1.0,7.0,5.9,Yes
73,1.5,4.6,5.6,6.05,No
72,3.0,6.5,6.2,4.46,No
67,3.3,2.2,6.1,5.6,No
68,1.5,4.3,4.0,5.86,No
76,4.2,2.9,6.1,7.08,No
43,1.3,4.8,,4.47,No
48,4.7,4.1,6.7,4.37,No
67,2.0,2.0,5.2,6.44,No
88,3.6,5.5,6.5,5.66,Yes
91,6.2,4.0,7.2,6.58,Yes
47,4.5,2.4,5.7,5.75,Yes
100,1.1,2.0,6.6,6.23,Yes
56,0.0,1.8,7.6,4.84,No
55,5.1,3.5,5.6,5.27,Yes
35,3.3,3.7,5.7,5.78,No
60,5.3,0.8,8.4,6.41,No
64,4.3,3.4,8.0,6.37,No
93,3.0,2.4,7.4,6.27,No
82,4.9,2.4,8.0,6.46,No
86,2.5,3.1,7.7,6.07,No
98,5.6,5.0,7.7,7.63,No
100,2.3,6.7,6.6,5.94,No
99,2.4,2.1,6.3,5.89,Yes
75,3.9,3.4,6.5,5.35,No
63,2.5,2.5,5.0,5.49,No
85,4.2,4.3,7.5,6.35,Yes
58,2.6,2.7,5.1,4.1,No
79,3.7,4.4,7.1,4.08,Yes
66,4.9,3.1,6.2,5.06,No
61,3.2,2.3,,6.14,No
44,2.7,4.5,5.7,5.39,No
76,2.7,5.1,4.9,4.3,No
55,4.2,4.1,6.1,6.57,No
79,4.7,3.0,6.2,5.99,Yes
67,0.3,4.5,6.2,4.52,No
69,4.0,4.9,7.0,6.07,No
67,1.4,4.2,7.3,3.97,No
48,2.3,3.1,6.1,5.18,No
59,3.0,2.2,7.1,5.86,No
57,3.0,3.0,6.6,4.49,No
56,2.8,3.8,6.2,5.12,No
56,3.5,4.3,4.3,5.18,No
55,2.2,4.0,8.0,,No
58,3.8,2.5,8.5,4.92,No
59,2.7,4.6,7.7,4.41,No
78,3.5,4.2,6.2,6.21,No
72,2.3,4.8,4.8,4.78,No
55,1.7,4.8,6.1,5.59,No
63,1.4,4.8,7.1,5.5,No
42,2.4,4.9,6.0,4.19,No
72,1.5,3.3,7.3,5.39,No
66,4.4,8.0,6.8,6.91,No
56,3.7,3.2,7.8,5.3,No
100,1.3,4.9,5.6,5.09,No
66,0.4,6.1,8.0,4.08,No
76,4.2,3.8,,4.4,Yes
64,3.9,3.7,5.9,5.14,No
52,1.0,5.0,6.5,4.07,No
72,2.1,0.4,7.7,6.41,No
62,4.0,3.4,7.2,5.94,No
80,0.0,4.1,5.0,4.74,No
65,1.5,5.0,5.5,4.65,No
66,2.1,2.5,9.9,4.24,No
85,4.2,4.7,7.6,6.63,Yes
72,2.6,3.5,6.8,6.31,No
72,4.2,6.8,5.7,4.99,No
73,1.9,4.9,7.3,6.38,No
83,3.6,7.4,5.3,5.32,No
100,3.2,2.9,7.4,6.93,Yes
63,,2.1,7.4,5.25,No
68,2.3,,7.5,6.07,Yes
59,,1.4,9.2,6.56,No
65,3.0,2.7,7.0,4.91,No
75,3.6,4.6,5.8,6.38,No
77,4.2,2.5,4.6,5.81,No
86,2.7,3.7,8.6,5.49,Yes
64,0.0,3.3,6.1,4.81,No
75,1.2,1.7,6.5,6.2,No
56,0.7,7.0,4.4,4.56,No
58,0.8,3.1,6.0,3.83,No
83,2.8,5.0,5.9,6.11,No
65,3.6,4.0,8.7,7.36,Yes
59,1.1,0.9,6.5,3.94,No
46,4.1,2.0,6.6,,No
84,4.2,3.7,6.0,6.03,Yes
44,,2.7,7.8,4.82,Yes
46,4.4,5.4,4.1,5.32,No
78,4.5,0.5,6.1,6.77,Yes
66,3.3,5.0,6.6,6.03,No
75,1.6,2.9,7.3,6.04,No
65,2.6,0.6,6.6,5.37,No
83,4.6,2.7,7.5,7.22,Yes
88,2.7,4.2,6.3,5.58,No
89,3.3,2.9,6.6,7.07,No
66,4.3,4.1,6.9,6.4,No
53,3.2,6.0,8.4,3.89,No
69,2.6,,6.6,5.16,No
57,2.0,2.5,7.1,5.51,No
61,6.0,5.2,,6.07,Yes
98,3.5,3.2,7.4,6.4,Yes
82,1.3,,6.0,6.3,Yes
65,1.9,1.3,5.5,4.68,No
68,3.0,3.5,6.8,7.27,Yes
62,3.9,5.1,8.5,5.87,No
72,2.8,2.5,8.2,5.54,No
63,0.7,3.3,4.4,5.0,No
86,0.1,3.8,8.5,5.85,Yes
69,0.3,0.0,7.2,5.16,No
56,3.8,4.3,4.9,5.11,No
91,3.3,4.7,5.1,5.06,Yes
77,1.9,4.9,6.1,4.58,No
75,6.0,4.1,5.6,6.54,No
42,2.9,3.6,8.9,4.69,No
69,0.5,3.8,7.9,5.31,No
59,2.8,5.1,6.9,4.9,No
27,3.6,3.7,8.0,7.03,No
68,2.2,4.7,9.4,6.22,No
67,2.7,3.5,6.4,5.63,No
88,3.9,5.4,5.1,,Yes
61,3.3,3.1,8.2,5.68,Yes
57,3.9,5.5,7.6,5.53,No
59,4.1,1.5,6.8,4.74,No
73,0.7,4.0,5.8,5.01,No
87,3.9,5.4,7.2,5.8,Yes
69,3.9,4.2,5.2,5.68,Yes
61,3.4,4.2,7.3,5.23,No
67,3.5,4.4,4.6,5.55,No
79,1.6,3.7,5.2,5.41,No
87,5.3,3.1,7.5,7.68,No
87,3.9,4.3,4.0,6.04,Yes
68,4.0,4.5,7.2,4.37,No
76,5.1,2.4,7.0,6.64,No
82,4.3,4.6,5.1,6.85,Yes
68,4.3,3.4,7.1,6.51,No
80,0.0,2.2,6.1,4.91,No
81,0.0,5.2,5.9,,No
77,2.8,,6.1,5.68,No
82,3.4,5.1,5.0,5.4,No
100,3.5,2.8,7.5,6.97,Yes
57,3.4,5.7,6.0,5.71,No
89,3.4,3.5,4.6,4.19,No
72,3.2,4.6,6.8,5.04,No
69,1.9,2.4,7.9,6.33,No
61,0.9,4.5,3.7,4.85,No
74,2.8,4.5,7.1,5.08,No
62,2.0,3.2,7.5,5.66,No
67,2.4,2.1,5.6,5.96,No
48,0.5,4.5,,4.46,No
71,2.7,5.2,7.8,4.67,No
56,3.4,1.8,5.9,6.17,No
67,0.8,3.6,7.7,4.03,No
70,3.6,4.4,5.1,5.93,No
56,1.0,2.0,5.2,4.68,No
55,3.7,5.8,7.9,6.9,No
63,1.8,5.1,6.1,4.44,No
59,4.6,4.6,7.3,4.29,Yes
71,1.8,4.1,4.8,5.04,No
67,1.4,2.6,7.2,6.0,No
83,2.9,,5.9,6.6,No
71,3.5,1.3,6.1,5.36,No
74,4.4,2.6,4.7,6.83,No
68,3.9,4.2,7.6,6.21,Yes
46,1.5,3.8,5.4,3.39,No
68,3.4,2.8,5.6,5.38,No
39,1.2,3.8,6.9,3.89,No
62,4.5,4.5,7.1,5.73,No
78,5.0,2.2,8.2,6.16,Yes
52,3.2,5.8,,5.29,No
37,2.5,3.4,6.1,5.44,No
58,5.3,3.8,4.2,6.24,No
72,5.0,3.2,4.6,6.75,Yes
63,0.0,3.8,6.3,5.26,No
50,3.7,0.6,6.6,6.8,Yes
62,2.6,3.0,7.1,4.95,No
77,0.7,2.3,8.8,6.78,No
64,5.3,4.0,6.2,6.79,No
82,1.6,3.4,4.1,6.04,No
61,4.3,2.1,6.4,6.18,No
47,2.0,2.5,5.6,5.04,Yes
95,1.1,2.8,9.0,6.13,No
75,3.1,4.0,,5.19,No
90,0.5,4.4,5.3,4.52,No
68,6.0,1.8,4.8,6.13,No
65,3.9,5.2,5.3,4.61,No
91,2.0,4.2,6.6,6.24,Yes
93,2.7,3.0,6.1,5.36,No
50,1.5,2.8,6.5,5.38,No
60,3.4,4.0,,4.81,No
56,0.8,4.7,5.7,5.09,No
79,0.6,6.0,4.9,5.86,No
58,3.3,3.8,7.1,7.38,No
77,5.3,5.6,6.9,5.45,No
82,1.6,5.2,6.3,5.0,No
98,1.8,5.0,7.9,6.86,No
53,2.3,3.8,7.3,4.72,No
87,2.1,3.8,5.3,6.13,No
66,2.5,4.8,6.6,4.89,No
98,3.5,3.1,4.8,7.48,No
85,2.5,6.1,6.2,4.81,No
84,0.4,4.7,7.3,5.86,No
58,2.4,1.5,5.9,6.4,No
67,3.5,2.6,6.2,6.89,No
76,1.7,4.7,6.9,6.82,No
61,3.7,5.6,7.1,3.51,No
80,4.4,5.7,6.4,5.03,No
97,3.4,3.7,8.0,5.65,Yes
60,1.7,3.8,7.0,5.26,No
59,5.1,3.9,,5.34,No
61,4.5,5.5,10.0,5.48,No
92,3.3,2.1,5.4,5.62,No
67,2.4,4.7,7.9,4.77,No
94,4.5,6.2,6.8,,No
81,3.4,4.8,9.2,5.39,No
76,4.4,3.0,5.7,6.46,No
98,2.5,4.0,7.0,5.49,No
58,2.3,5.1,7.8,5.46,No
43,0.4,2.5,8.2,5.37,No
59,5.3,2.5,6.2,5.81,Yes
67,4.9,0.0,7.4,5.73,Yes
74,2.0,5.7,5.9,6.07,No
81,3.2,4.6,6.2,5.85,No
75,4.0,4.6,5.6,5.31,No
77,3.9,2.9,5.1,5.55,No
69,3.4,1.5,5.8,5.13,Yes
79,2.3,2.4,6.7,4.81,Yes
74,2.5,2.0,7.3,6.06,Yes
89,3.0,5.6,5.5,6.25,No
78,2.4,0.4,7.4,5.4,No
81,5.8,3.6,8.6,6.92,Yes
100,2.8,3.5,7.8,7.0,Yes
65,2.8,5.3,7.7,4.41,No
85,2.5,1.7,6.7,6.18,Yes
71,1.3,0.9,4.8,5.03,No
66,4.2,8.0,7.6,5.46,No
68,0.4,4.1,8.0,4.35,No
81,3.5,1.7,3.5,7.25,Yes
67,1.0,4.4,,3.64,No
44,3.7,1.2,5.7,4.29,No
63,4.6,3.7,4.8,4.58,No
91,3.9,6.2,5.2,5.93,Yes
80,1.9,1.7,8.5,5.94,Yes
36,1.5,4.2,7.3,6.01,No
59,2.8,3.0,6.6,4.04,No
53,1.3,1.9,6.5,5.54,No
42,1.9,1.9,8.6,4.6,No
69,2.3,3.2,6.0,5.5,No
88,3.8,4.6,5.3,6.57,No
55,6.3,3.2,7.8,5.9,Yes
61,3.3,1.9,5.3,4.77,No
65,2.1,3.4,3.9,4.73,No
43,,0.3,6.5,7.34,Yes
100,4.5,1.1,4.9,7.34,No
82,4.2,5.1,7.4,5.8,Yes
72,4.6,2.0,,6.1,Yes
59,5.7,5.1,6.6,6.11,Yes
50,0.0,7.0,6.4,3.59,No
58,2.8,3.8,6.4,4.88,No
86,1.3,3.9,6.3,5.63,No
60,3.8,4.6,7.2,5.37,Yes
68,3.6,3.6,5.1,6.11,No
70,3.6,5.2,8.1,4.96,No
100,2.3,4.2,6.5,5.22,No
61,3.5,3.8,8.0,4.32,No
53,3.7,3.2,7.6,5.59,No
42,2.4,6.5,5.8,4.7,No
60,1.4,1.3,7.6,6.12,Yes
100,5.2,6.4,5.4,5.64,Yes
78,4.2,4.1,5.8,5.77,No
92,0.0,2.7,4.2,5.62,No
76,1.3,2.2,8.3,5.11,No
64,2.3,3.2,8.0,5.62,No
80,4.0,5.0,5.1,5.78,No
55,0.0,4.7,6.4,4.95,No
79,1.1,3.3,7.1,5.06,Yes
85,2.6,2.1,6.9,6.22,Yes
84,3.2,1.1,5.4,6.91,Yes
66,2.0,3.3,7.3,5.37,No
88,3.5,3.7,8.4,6.35,Yes
53,2.2,5.6,8.4,4.74,No
80,0.7,0.6,6.9,5.31,No
74,3.5,5.0,6.8,5.51,No
59,4.0,4.6,4.6,5.09,No
53,4.4,2.6,5.3,6.21,No
68,1.1,1.1,6.0,4.96,No
71,3.8,3.8,8.4,5.87,No
60,3.5,5.8,6.6,4.85,No
50,5.7,0.4,4.8,4.86,No
82,1.4,6.4,5.3,5.09,No
84,3.1,6.3,8.0,5.21,No
100,2.9,3.8,6.2,6.55,Yes
59,0.5,1.6,5.0,5.21,No
70,5.1,4.7,6.1,6.51,Yes
84,1.6,0.6,5.9,6.77,Yes
85,1.8,1.8,5.7,6.57,Yes
75,2.7,4.6,8.4,4.94,No
